RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
2	412510	521202	42.445278	20.8625	422643	205145	34TDM8869299226	NK34-05	P	PPL		KV	14				N	srp			KARABOJ	Karaboj	Karaboj	KARABOJ	Karaboj	Karaboj		2009-04-08
2	412510	11037899	42.445278	20.8625	422643	205145	34TDM8869299226	NK34-05	P	PPL		KV	14				NS	srp			КАРАБОЈ	Карабој	Карабој	КАРАБОЈ	Карабој	Карабој		2009-05-03
2	411617	519153	42.516389	20.855	423059	205118	34TDN8808907123	NK34-05	P	PPL		KV	14				N	srp			NOVOSELO	Novo Selo	Novo Selo	NOVOSELO	Novo Selo	Novo Selo		2009-04-08
2	411617	11037936	42.516389	20.855	423059	205118	34TDN8808907123	NK34-05	P	PPL		KV	14				NS	srp			НОВОСЕЛО	Ново Село	Ново Село	НОВОСЕЛО	Ново Село	Ново Село		2009-05-04
2	-81574	520644	42.893611	20.798889	425337	204756	34TDN8358049020	NK34-05	P	PPL		KV	15				V	sqi			VINARCISIPERM	Vinarci Sipërm	Vinarci Siperm	VINARCISIPERM	Vinarci Sipërm	Vinarci Siperm		2009-04-08
2	-81574	-119383	42.893611	20.798889	425337	204756	34TDN8358049020	NK34-05	P	PPL		KV	15				N	srp			GORNJEVINARCE	Gornje Vinarce	Gornje Vinarce	GORNJEVINARCE	Gornje Vinarce	Gornje Vinarce		2009-04-08
2	-81574	11039596	42.893611	20.798889	425337	204756	34TDN8358049020	NK34-05	P	PPL		KV	15				NS	srp			ГОРЊЕВИНАРЦЕ	Горње Винарце	Горње Винарце	ГОРЊЕВИНАРЦЕ	Горње Винарце	Горње Винарце		2009-05-04
2	-81574	11039597	42.893611	20.798889	425337	204756	34TDN8358049020	NK34-05	P	PPL		KV	15				D	sqi			VINARCIEPERM	Vinarc i Epërm	Vinarc i Eperm	VINARCIEPERM	Vinarc i Epërm	Vinarc i Eperm		2009-05-04
2	-81574	11039598	42.893611	20.798889	425337	204756	34TDN8358049020	NK34-05	P	PPL		KV	15				V	sqi			VINARCIIULTE	Vinarci i Ultë	Vinarci i Ulte	VINARCIIULTE	Vinarci i Ultë	Vinarci i Ulte		2009-05-04
2	440191	562343	43.007778	20.9625	430028	205745	34TDN9694461679	NK34-02	P	PPL		KV	15				N	srp			JASICI	Jasici	Jasici	JASICI	Jasici	Jasici		2009-04-08
2	412163	520346	43.014444	20.958611	430052	205731	34TDN9662762420	NK34-02	P	PPL		KV	15				V	srp			ISIC	Isić	Isic	ISIC	Isić	Isic		2009-04-08
2	412163	562341	43.014444	20.958611	430052	205731	34TDN9662762420	NK34-02	P	PPL		KV	15				N	srp			ISLJAMOVICI	Isljamovići	Isljamovici	ISLJAMOVICI	Isljamovići	Isljamovici		2009-04-08
2	-87559	11063731	42.618889	20.369722	423708	202211	34TDN4831118687	NK34-05	P	PPLL		KV	18				V	sqi			LOZHANE	Lozhanë	Lozhane	LOZHANE	Lozhanë	Lozhane		2009-05-25
2	-87559	520836	42.618889	20.369722	423708	202211	34TDN4831118687	NK34-05	P	PPLL		KV	18				V	sqi			LUSHAN	Lushan	Lushan	LUSHAN	Lushan	Lushan		2009-04-08
2	-87559	6272195	42.618889	20.369722	423708	202211	34TDN4831118687	NK34-05	P	PPLL		KV	18				V	sqi			LOSHANI	Loshani	Loshani	LOSHANI	Loshani	Loshani		2009-04-08
2	-87559	6272196	42.618889	20.369722	423708	202211	34TDN4831118687	NK34-05	P	PPLL		KV	18				V	sqi			LLOZHANI	Llozhani	Llozhani	LLOZHANI	Llozhani	Llozhani		2009-04-08
2	-87559	6272194	42.618889	20.369722	423708	202211	34TDN4831118687	NK34-05	P	PPLL		KV	18				D	sqi			LLOZHAN	Llozhan	Llozhan	LLOZHAN	Llozhan	Llozhan		2009-05-25
2	-87559	-127608	42.618889	20.369722	423708	202211	34TDN4831118687	NK34-05	P	PPLL		KV	18				N	srp			LOZANE	Ložane	Lozane	LOZANE	Ložane	Lozane		2009-04-08
2	-87559	11063730	42.618889	20.369722	423708	202211	34TDN4831118687	NK34-05	P	PPLL		KV	18				NS	srp			ЛОЖАНЕ	Ложане	Ложане	ЛОЖАНЕ	Ложане	Ложане		2009-05-25
2	412484	11037868	42.463333	20.769167	422748	204609	34TDN8102201247	NK34-05	P	PPL		KV	14				NS	srp			БОГИЋ	Богић	Богић	БОГИЋ	Богић	Богић		2009-05-03
2	412484	521163	42.463333	20.769167	422748	204609	34TDN8102201247	NK34-05	P	PPL		KV	14				N	srp			BOGIC	Bogić	Bogic	BOGIC	Bogić	Bogic		2009-04-08
2	9022308	9022309	42.471667	20.85	422818	205100	34TDN8767002158	NK34-05	P	PPL		KV	14				V				GODEN	Goden	Goden	GODEN	Goden	Goden		2009-04-08
